Customer Name,Customer Mail ID,Feedback,Sentiment,Date and Time,Caretaker/Server Name,Care Employee ID,Customer Age,Customer Contact,Department,Customer Stay Duration,Number of Visits,Membership Status,Amount to be Paid,NPS
Kaitlin Smith,christina60@example.net,Child agreement sister thousand cut send support better.,Neutral,2024-07-28 11:44:15,Kelli Miller,4341,39,798-676-7924,Housekeeping,22,2,Gold,57.03,1
Cameron Roth,jacksonjudith@example.com,Great from hard relate before despite people.,Neutral,2024-06-10 17:51:17,John Rodgers,2715,59,(401)526-8335x5833,Wellness,1,7,Silver,230.37,10
Preston Mcknight,sawyersamantha@example.com,Single weight when.,Neutral,2024-08-25 09:47:34,Jonathan Davis MD,1723,18,+1-266-985-9681x32243,Room Service,4,2,Silver,829.56,3
Joseph Williams,michael19@example.org,However relationship traditional city service beautiful.,Neutral,2024-06-03 22:11:03,Juan Hall,7935,29,(990)544-7982x934,Wellness,19,3,Silver,2161.16,1
Eric Torres,william40@example.org,Example sport language will Congress security ground.,Neutral,2024-01-15 00:56:54,Alyssa Nash,5746,48,001-424-533-2478x8173,Dining,23,5,Silver,2396.83,5
Douglas English,hramos@example.com,Story several society sell.,Neutral,2024-08-20 06:03:23,Kevin Mcneil,4619,37,(839)440-1622x51381,Room Service,16,15,Silver,4797.39,0
Elaine Brown,williamscheyenne@example.net,Drive matter natural get data.,Neutral,2024-07-11 20:08:16,Emily Green,5273,80,(301)741-6238,Wellness,9,4,None,2010.59,2
Stephanie Johnson,samantha68@example.net,Often Mrs gun course.,Neutral,2024-02-14 19:57:30,Mary Higgins,5590,34,357.244.3013x046,Housekeeping,5,15,Silver,3826.73,7
Christopher Barnes,leonard44@example.org,Southern respond human national matter decade step.,Neutral,2024-06-26 07:23:03,Robert Lewis,1776,41,261-492-0253x47696,Wellness,21,9,Gold,3413.76,5
Victoria Hamilton,bryanscott@example.com,Provide bank space out.,Neutral,2024-01-05 06:36:40,Mark Lewis,2567,20,+1-499-834-4520,Housekeeping,26,6,None,678.95,0
Destiny Johnson,nbradford@example.net,Lot or recognize she board.,Neutral,2024-01-11 16:32:46,Erin Miles,7345,52,001-906-694-1653x2895,Housekeeping,8,11,Silver,4007.87,1
Ashley Hill,campbellcharles@example.org,Happen someone century remain.,Neutral,2024-01-18 13:59:50,Vincent Jackson,6745,68,(863)918-1755x3644,Wellness,7,10,Silver,1006.3,9
